,Station,Total Sessions,Address,Distance To Freeway (in miles),Latitude,Longitude
129,AUI-10327,2,"948 E Vernon Ave, Los Angeles, CA",2.2026372331303627,34.0038388,-118.2592577
130,AUI-10332,97,"923 E 3rd St, Los Angeles, CA",5.364525567958322,34.0462751,-118.2341401
131,AUI-10350,65,"9850 Exposition Blvd, Los Angeles, CA",5.60932632173809,34.0290275,-118.4020847
132,AUI-10346,5,"1757 S Robertson Blvd, Los Angeles, CA",5.93325597226831,34.0723678,-118.3837784
133,AUI-10360,12,"2411 N Thomas Street, Los Angeles, CA",3.874892816750041,34.060085,-117.7513229
134,AUI-10334,26,"176 S Virgil Ave, Los Angeles, CA",1.893224377835818,34.0711858,-118.2866571
135,AUI-10304,16,"3619 Regal Pl, Los Angeles, CA",7.950562495753596,34.1338909,-118.3628816
136,AUI-10370,14,"18744 Parthenia St, Los Angeles, CA",21.628266758923704,34.2283385,-118.4633188
137,AUI-10343,27,"21021 Devonshire St, Los Angeles, CA",22.927733022138018,34.2572385,-118.4581934
138,AUI-10368,10,"6945 Sepulveda Blvd, Los Angeles, CA",12.240252733042192,33.9403112,-118.3961297
139,AUI-10354,16,"838 S Barrington Ave, Los Angeles, CA",5.814208834749067,34.0546096,-118.4666071
140,AUI-10375,62,"4294 Coldwater Canyon Ave, Los Angeles, CA",10.758584630968176,34.1480598,-118.413673
141,AUI-10380,57,"4319 Whitsett Ave, Los Angeles, CA",10.535277199722877,34.2137121,-118.405249
142,AUI-10373,4,"15450 Plummer St, Los Angeles, CA",16.85172897163765,34.2424022,-118.4691169
143,AUI-10349,4,"11175 Glenoaks Blvd, Los Angeles, CA",16.736491899292645,34.2220068,-118.3587239
144,AUI-10347,7,"9776 S Sepulveda Blvd, Los Angeles, CA",4.291674910192845,33.9525405,-118.3964036
145,AUI-10355,17,"8932 Woodman Ave, Los Angeles, CA",8.696662693733535,34.1560029,-118.4312491
146,AUI-10351,46,"17415 Vanowen St, Los Angeles, CA",13.327552454033228,34.1939454,-118.4224211
147,AUI-10341,8,"4349 E Valley Blvd, Los Angeles, CA",6.401491588611809,34.0745408,-118.1679062
148,AUI-10337,29,"1751 Westwood Blvd, Los Angeles, CA",5.715341989359933,34.0615158,-118.4453467
149,AUI-10378,95,"6959 Esplanade St, Los Angeles, CA",4.349585979467758,33.9585856,-118.4491157
150,AUI-10366,7,"1248 Westwood Blvd, Los Angeles, CA",5.850325563187807,34.0578138,-118.4430765
151,AUI-10336,80,"4839 Laurel Canyon Blvd, Los Angeles, CA",10.371124274188961,34.1875351,-118.3965849
152,AUI-10376,2,"7428 S Sepulveda Blvd, Los Angeles, CA",5.030964240664084,33.9525405,-118.3964036
153,AUI-10382,21,"10654 W Magnolia Blvd, Los Angeles, CA",9.898060886573996,34.1653445,-118.3545484
154,AUI-10364,5,"6040 Jefferson Blvd, Los Angeles, CA",5.338957631817338,33.9872391,-118.3997647
155,AUI-10389,15,"5263 Packard, Los Angeles, CA",4.171450617123102,34.050743,-118.350766
156,AUI-10388,8,"9818 Reseda Blvd, Los Angeles, CA",17.44659229643073,34.2646629,-118.536118
