,Unnamed: 0,Unnamed: 0.1,Station,Total Sessions,Address,Latitude,Longitude,Distance To Freeway (in miles),num_pois_nearby,concentrated_disadvantage,commute_time,cars_per_home,median_household_income,total_population,pop_below_18,pop_between_18_34,pop_between_34_65,pop_over_65,ev_car_count,total_sessions
21,21,21,AUI-10255,2,"290 N Mission Road, Los Angeles, CA",34.0506258,-118.2270707,1.3222196372219268,41,0.3277146649844561,31.303030303030305,0.5250723835673362,55807.106060606064,3897.515151515152,852.1363636363636,1129.969696969697,1440.8636363636365,474.54545454545456,277.6060606060606,2
22,22,22,AUI-10268,20,"17832 Plummer Street, Los Angeles, CA",34.2428198,-118.5227509,2.6446498930369966,32,-0.483677052955273,33.80645161290323,0.923322695899628,79888.17741935482,3884.303030303031,849.030303030303,842.3484848484848,1607.6969696969695,585.2272727272727,528.6666666666666,20
23,23,23,AUI-10257,6,"20321 W Saticoy St, Los Angeles, CA",34.208268100000005,-118.4721919,5.066727533300207,26,-0.2340156642635877,31.59090909090909,0.8343941830256147,79530.74242424242,4603.681818181818,880.4393939393941,1257.8181818181818,1810.9242424242425,654.5,487.1911764705882,6
24,24,24,AUI-10274,14,"651 W 1st, Los Angeles, CA",33.78102020000001,-118.2694377,2.2556281325092224,31,-0.3217239005163118,30.18367346938776,0.678148119208279,94259.32142857145,3920.818181818182,846.3181818181819,881.8484848484848,1615.3636363636365,577.2878787878788,488.22807017543863,14
25,25,25,AUI-10245,102,"9200 Venice Blvd, Los Angeles, CA",34.0263805,-118.3933239,1.7632580711787709,67,0.12472881302177538,27.75757575757576,0.5007663546820399,91647.75806451614,4630.151515151515,742.7575757575756,1530.3787878787882,1752.6818181818182,604.3333333333334,577.4848484848485,102
26,26,26,AUI-10216,80,"4712 W Washington Blvd, Los Angeles, CA",34.0395664,-118.3420489,4.8316880374952165,35,0.4161008239726717,30.71212121212121,0.3436532718607366,68253.42424242424,4278.151515151515,810.1060606060606,1152.8484848484848,1702.0,613.1969696969697,421.3787878787878,80
27,27,27,AUI-10273,307,"13310 W Bluff Creek Dr, Los Angeles, CA",33.9681023,-118.4262923,1.2306239008917073,47,0.1414843674814838,28.027777777777782,0.3848780757308457,73193.91666666669,2788.7727272727275,549.0151515151515,712.6515151515152,1140.5757575757575,386.53030303030295,453.9318181818182,307
28,28,28,AUI-10270,10,"9037 Loyola Blvd, Los Angeles, CA",33.957465899999995,-118.4177188,2.3276529998243185,31,-0.03547408254791292,28.75555555555556,0.4759859143851222,85831.97777777778,3224.9242424242425,686.939393939394,727.3787878787879,1339.3181818181818,471.2878787878788,662.1333333333333,10
29,29,29,AUI-10232,83,"1724 W Century Blvd, Los Angeles, CA",33.9453286,-118.3073544,1.9828689963255035,16,0.7769571580834932,31.12698412698413,0.6440105955165192,56485.063492063484,4800.424242424242,1258.5454545454545,1172.6666666666667,1795.1969696969695,574.0151515151515,226.33333333333331,83
30,30,30,AUI-10256,10,"8843 S St Andrews Pl, Los Angeles, CA",33.9573684,-118.3116296,2.279602458621384,25,0.5669123328532639,31.765625,0.6582673949371909,55826.3125,4874.681818181818,1211.439393939394,1238.6969696969695,1859.257575757576,565.2878787878788,241.0909090909091,10
