,Unnamed: 0,Station,Total Sessions,Address,Latitude,Longitude,Distance To Freeway (in miles),num_pois_nearby,ev_car_zip_count,concentrated_disadvantage,commute_time,cars_per_home,median_household_income,total_population,pop_below_18,pop_between_18_34,pop_between_34_65,pop_over_65
118,118,AUI-10325,12,"8201 Tampa Avenue, Los Angeles, CA",34.219355,-118.553673,3.5554440967467964,19,301,-0.3760600701610416,33.0,1.2054429028815368,68214.0,5270,1094,1192,2337,647
119,119,AUI-10306,50,"6007 Variel Ave, Los Angeles, CA",34.179943200000004,-118.59331780000001,1.4508306914975797,38,4,0.248015194038894,31.0,0.14021967749474176,79985.0,4354,341,1782,1787,444
120,120,AUI-10356,30,"7647 Canoga Avenue, Los Angeles, CA",34.209773,-118.59842990000001,1.1499631794669778,28,433,-0.03920638137072405,31.0,0.4373857404021938,73516.0,4111,946,962,1741,462
121,121,AUI-10338,15,"3845 Selig Pl, Los Angeles, CA",34.0685547,-118.1989767,1.5081887543315076,31,151,1.3006109661555765,36.0,0.4891796678409663,35776.0,4377,1141,1121,1456,659
122,122,AUI-10348,35,"10215 Palms Blvd, Los Angeles, CA",34.0272776,-118.4069342,1.3293802709739977,40,712,-0.1804128743449017,30.0,0.1870609981515712,68068.0,2825,231,1438,1001,155
123,123,AUI-10342,3,"9418 National Blvd, Los Angeles, CA",34.0310983,-118.396575,1.7788720344884263,54,712,-0.036257563435130966,28.0,0.15170278637770898,77778.0,3123,333,1305,1306,179
124,124,AUI-10297,18,"13308 Paxton St, Los Angeles, CA",34.276106,-118.422684,2.773440640402144,25,229,0.3264982268978889,28.0,0.9076112972714218,52895.0,5599,1274,1844,1891,590
125,125,AUI-10303,46,"1499 Gordon St, Los Angeles, CA",34.097803000000006,-118.320168,1.5414552708562692,87,221,0.1393023675053559,33.0,0.2183050847457627,35787.0,3835,736,1245,1476,378
126,126,AUI-10305,23,"3211 Beverly Blvd, Los Angeles, CA",34.072617,-118.28331499999999,2.2772356074925058,49,194,0.8704144261233943,36.0,0.3613652357494722,46797.0,4441,675,1397,1874,495
127,127,AUI-10300,58,"3215 Beverly Blvd, Los Angeles, CA",34.072713,-118.283534,2.2817799356524344,49,194,0.8704144261233943,36.0,0.3613652357494722,46797.0,4441,675,1397,1874,495
