Station ID,Station,Total Sessions,Total Connection Time,Total Amount,Currency,Total kWh,Park
="57f3be31-cf87-4242-86e4-f8da85027538",="AUI-10210","77","187:31","79.35","USD","938.178",="FLO | EVC260 | SLID 28277 | 11667 W Santa Monica Blvd"
="ecce37e5-b9f4-4979-8975-c82641ec6720",="AUI-10213","81","210:05","219.77","USD","917.149",="FLO | EVC262 | SLID 167523 | 10478 W Wilshire Blvd"
="d9ee9840-9631-418c-9d84-a5a310fb3b2a",="AUI-10211","67","156:46","154.54","USD","731.494",="FLO | EVC263 | SLID 216173 | 8334 Lincoln Blvd"
="1a4e84cb-e71a-4707-945a-034f55e8295e",="AUI-10221","13","19:23","29.39","USD","101.938",="FLO | EVC264 | SLID 161218 | 12159 W Olympic Blvd"
="7b0a099b-63e3-4316-bb1f-afd54d4c1342",="AUI-10217","135","262:50","464.54","USD","1249.104",="FLO | EVC266 | SLID 72362 | 6646 W Sunset Blvd"
="67333250-7e5e-4b55-b619-5837bb73f431",="AUI-10208","242","563:31","575.01","USD","3281.288",="FLO | EVC267 | SLID 28181 | 12237 W Santa Monica Blvd"
="d5c3434c-aecf-4507-8bf0-d7194c22f3fd",="AUI-10271","21","33:52","16.40","USD","112.958",="FLO | EVC269 | SLID 168570 | 11816 W Major St"
="25def0ed-ba4f-409d-9768-81b2b9ed6b24",="AUI-10252","60","135:11","151.49","USD","799.72",="FLO | EVC270 | SLID 127706 | 11677 San Vicente Blvd"
="0b5f9232-ada0-4713-b062-88f312116aa2",="AUI-10250","6","5:42","8.59","USD","39.544",="FLO | EVC273 | SLID 56113 | 8624 S Wilton Pl"
="5c60f8fb-4484-40f5-a95f-d356911176fe",="AUI-10246","46","121:07","32.97","USD","372.329",="FLO | EVC278 | SLID 49986 | 1516 N North Spring St"
="58667645-f958-401c-a4c3-a93c9d15e087",="AUI-10220","23","26:17","39.43","USD","92.755",="FLO | EVC279 | SLID 83851 | 616 W Washington Blvd"
="764d7c97-55e1-4ddc-8006-ee80cf347802",="AUI-10243","3","0:00","0.00","USD","0.139",="FLO | EVC280 | SLID 144086 | 13076 W Sherman Way"
="72d3cb97-0ec2-4f1e-8365-bd1847070d56",="AUI-10204","150","257:53","235.90","USD","1185.914",="FLO | EVC282 | SLID 231336 | 2843 S Flower St"
="5cae54d9-9822-41d2-9cb9-59d018643aa3",="AUI-10200","207","595:58","587.23","USD","3000.431",="FLO | EVC283 | SLID 207143 | 182 S Alameda St"
