,Station,Total Sessions,Address,Latitude,Longitude,num_pois_nearby
100,AUI-10313,23,"18099 Rinaldi street, Los Angeles, CA",34.278644799999995,-118.5274194,4
101,AUI-10312,40,"21900 Plummer St, Los Angeles, CA",34.242412200000004,-118.6042211,27
102,AUI-10307,12,"10567 Mason Ave, Los Angeles, CA",34.261771,-118.5798527,34
103,AUI-10387,8,"5350 San Vicente Blvd, Los Angeles, CA",34.0525027,-118.3512399,36
104,AUI-10294,33,"1143 S Beverly Dr, Los Angeles, CA",34.0565394,-118.39647820000002,43
105,AUI-10292,12,"664 S Central Ave, Los Angeles, CA",34.0372306,-118.2405573,103
106,AUI-10295,57,"5931 W 18th St, Los Angeles, CA",34.0438008,-118.37153290000002,28
107,AUI-10296,58,"6299 W 87th St, Los Angeles, CA",33.9585605,-118.3947537,35
108,AUI-10290,45,"1398 S Orange Grove Ave, Los Angeles, CA",34.05147410000001,-118.3655228,28
109,AUI-10318,17,"2442 Marengo St, Los Angeles, CA",34.0539241,-118.20177,26
110,AUI-10319,10,"10108 Mason Avenue, Los Angeles, CA",34.254166999999995,-118.579712,35
111,AUI-10316,11,"3022 S Grand Ave, Los Angeles, CA",34.0226929,-118.274234,57
112,AUI-10281,8,"3000 W Slauson Ave, Los Angeles, CA",33.988735299999995,-118.3256819,32
113,AUI-10324,19,"11009 S Figueroa St, Los Angeles, CA",33.935441600000004,-118.28295690000002,24
114,AUI-10323,11,"1033 W Pacific Coast Hwy, Los Angeles, CA",33.7906825,-118.2762558,25
115,AUI-10311,101,"5160 Vineland Avenue, Los Angeles, CA",34.1641232,-118.3696155,59
116,AUI-10299,20,"11410 Burbank Blvd, Los Angeles, CA",34.17184829999999,-118.3797377,48
117,AUI-10320,28,"21365 Erwin St, Los Angeles, CA",34.182931,-118.59696,58
118,AUI-10325,12,"8201 Tampa Avenue, Los Angeles, CA",34.219355,-118.553673,19
119,AUI-10306,50,"6007 Variel Ave, Los Angeles, CA",34.179943200000004,-118.5933178,38
120,AUI-10356,30,"7647 Canoga Avenue, Los Angeles, CA",34.209773,-118.5984299,28
121,AUI-10338,15,"3845 Selig Pl, Los Angeles, CA",34.0685547,-118.1989767,31
122,AUI-10348,35,"10215 Palms Blvd, Los Angeles, CA",34.0272776,-118.4069342,40
123,AUI-10342,3,"9418 National Blvd, Los Angeles, CA",34.0310983,-118.396575,54
124,AUI-10297,18,"13308 Paxton St, Los Angeles, CA",34.276106,-118.422684,25
125,AUI-10303,46,"1499 Gordon St, Los Angeles, CA",34.097803000000006,-118.320168,87
126,AUI-10305,23,"3211 Beverly Blvd, Los Angeles, CA",34.072617,-118.283315,49
127,AUI-10300,58,"3215 Beverly Blvd, Los Angeles, CA",34.072713,-118.283534,49
128,AUI-10301,5,"256 S Lafayette Park Pl, Los Angeles, CA",34.0675494,-118.2796614,58
