,Station,Total Sessions,Address,Latitude,Longitude
138,AUI-10368,10,"6945 Sepulveda Blvd, Los Angeles, CA",33.9742777,-118.394348
139,AUI-10354,16,"838 S Barrington Ave, Los Angeles, CA",34.0544555,-118.466163
140,AUI-10375,62,"4294 Coldwater Canyon Ave, Los Angeles, CA",34.1479032,-118.4135263
141,AUI-10380,57,"4319 Whitsett Ave, Los Angeles, CA",34.14920499999999,-118.4054894
142,AUI-10373,4,"15450 Plummer St, Los Angeles, CA",34.2423921,-118.4691955
143,AUI-10349,4,"11175 Glenoaks Blvd, Los Angeles, CA",34.27307140000001,-118.4114497
144,AUI-10347,7,"9776 S Sepulveda Blvd, Los Angeles, CA",33.9474756,-118.3957034
145,AUI-10355,17,"8932 Woodman Ave, Los Angeles, CA",34.2321757,-118.4378409
146,AUI-10351,46,"17415 Vanowen St, Los Angeles, CA",34.19388989999999,-118.5124217
147,AUI-10341,8,"4349 E Valley Blvd, Los Angeles, CA",34.063514,-118.19118
148,AUI-10337,29,"1751 Westwood Blvd, Los Angeles, CA",34.0510894,-118.4385126
149,AUI-10378,95,"6959 Esplanade St, Los Angeles, CA",33.9585867,-118.4492361
150,AUI-10366,7,"1248 Westwood Blvd, Los Angeles, CA",34.0578887,-118.4431004
151,AUI-10336,80,"4839 Laurel Canyon Blvd, Los Angeles, CA",34.15887379999999,-118.3968676
152,AUI-10376,2,"7428 S Sepulveda Blvd, Los Angeles, CA",33.9731993,-118.3948075
153,AUI-10382,21,"10654 W Magnolia Blvd, Los Angeles, CA",34.1648054,-118.3634964
154,AUI-10364,5,"6040 Jefferson Blvd, Los Angeles, CA",34.02042369999999,-118.380283
155,AUI-10389,15,"5263 Packard, Los Angeles, CA",34.0507581,-118.3511493
156,AUI-10388,8,"9818 Reseda Blvd, Los Angeles, CA",34.249297,-118.535973
157,AUI-10363,4,"8800 S Hoover St, Los Angeles, CA",33.9572904,-118.2863728
158,AUI-10390,29,"9889 Beachy Ave, Los Angeles, CA",34.251165,-118.4415257
159,AUI-10385,4,"10645 Glenoaks Blvd, Los Angeles, CA",34.262751,-118.40008
160,AUI-10377,14,"2044 Reservoir St, Los Angeles, CA",34.07873,-118.262088
161,AUI-10352,12,"7178 Tujunga Ave, Los Angeles, CA",34.200786,-118.378934
162,AUI-10383,81,"11169 Weddington St, Los Angeles, CA",34.1670008,-118.3748155
163,AUI-10367,4,"5441 E Valley Blvd, Los Angeles, CA",34.07409,-118.164775
164,AUI-10365,4,"8935 Mason Ave, Los Angeles, CA",34.23246719999999,-118.5798093
165,AUI-10379,48,"10949 Huston St, Los Angeles, CA",34.1599272,-118.3697512
166,AUI-10391,6,"10517 San Fernando Rd, Los Angeles, CA",34.26105,-118.417258
167,AUI-10381,15,"11185 Hindry Ave, Los Angeles, CA",33.9333653,-118.3723724
168,AUI-10357,3,"10634 Valparaiso St, Los Angeles, CA",34.0296115,-118.4149102
169,AUI-10340,30,"4240 Fulton Ave, Los Angeles, CA",34.1478861,-118.4222236
170,AUI-10344,12,"4236 Longridge Ave, Los Angeles, CA",34.1474861,-118.4209144
171,AUI-10384,20,"7123 Tampa Ave, Los Angeles, CA",34.1998776,-118.5537878
172,AUI-10358,15,"13214 Moorpark St, Los Angeles, CA",34.1500812,-118.4208748
173,AUI-10361,14,"11048 Huston St, Los Angeles, CA",34.1601042,-118.3711679
174,AUI-10362,8,"998 S Hobart Blvd, Los Angeles, CA",34.05281000000001,-118.30517
175,AUI-10359,2,"10919 S Figueroa St, Los Angeles, CA",33.9368695,-118.282841
176,AUI-10261,136,"729 N North Spring St, Los Angeles, CA",34.06047,-118.237689
