,Unnamed: 0,Station,Total Sessions,Address,Latitude,Longitude,Distance To Freeway (in miles)
128,128,AUI-10301,5,"256 S Lafayette Park Pl, Los Angeles, CA",34.0675494,-118.27966140000001,1.5336287790329042
129,129,AUI-10327,2,"948 E Vernon Ave, Los Angeles, CA",34.0037883,-118.25916129999999,1.7214760234791568
130,130,AUI-10332,97,"923 E 3rd St, Los Angeles, CA",34.0463078,-118.2341624,1.5012874245738155
131,131,AUI-10350,65,"9850 Exposition Blvd, Los Angeles, CA",34.0288099,-118.4027129,1.5340442397843472
132,132,AUI-10346,5,"1757 S Robertson Blvd, Los Angeles, CA",34.04769829999999,-118.3860416,2.967595258611944
133,133,AUI-10360,12,"2411 N Thomas Street, Los Angeles, CA",34.0740651,-118.20530020000001,1.7662221412998922
134,134,AUI-10334,26,"176 S Virgil Ave, Los Angeles, CA",34.0712476,-118.28635,1.510327191473094
135,135,AUI-10304,16,"3619 Regal Pl, Los Angeles, CA",34.13395,-118.3632699,1.370371800928874
136,136,AUI-10370,14,"18744 Parthenia St, Los Angeles, CA",34.2278025,-118.5420773,3.7495262313746403
137,137,AUI-10343,27,"21021 Devonshire St, Los Angeles, CA",34.2574949,-118.59169909999999,1.3708343765867346
138,138,AUI-10368,10,"6945 Sepulveda Blvd, Los Angeles, CA",33.9742777,-118.394348,12.808157978210824
139,139,AUI-10354,16,"838 S Barrington Ave, Los Angeles, CA",34.054455499999996,-118.466163,1.24410027578087
140,140,AUI-10375,62,"4294 Coldwater Canyon Ave, Los Angeles, CA",34.1479032,-118.4135263,1.4026915366457606
141,141,AUI-10380,57,"4319 Whitsett Ave, Los Angeles, CA",34.14920499999999,-118.40548940000001,1.545023991576403
142,142,AUI-10373,4,"15450 Plummer St, Los Angeles, CA",34.2423921,-118.46919550000001,1.6888355773056059
143,143,AUI-10349,4,"11175 Glenoaks Blvd, Los Angeles, CA",34.273071400000006,-118.41144969999999,1.4743975048758058
144,144,AUI-10347,7,"9776 S Sepulveda Blvd, Los Angeles, CA",33.9474756,-118.3957034,1.1614889979160585
145,145,AUI-10355,17,"8932 Woodman Ave, Los Angeles, CA",34.232175700000006,-118.4378409,3.3742788626113756
146,146,AUI-10351,46,"17415 Vanowen St, Los Angeles, CA",34.19388989999999,-118.51242169999999,1.961534061097332
147,147,AUI-10341,8,"4349 E Valley Blvd, Los Angeles, CA",34.063514,-118.19118,1.7611487837384658
148,148,AUI-10337,29,"1751 Westwood Blvd, Los Angeles, CA",34.051089399999995,-118.4385126,1.8992501948575058
149,149,AUI-10378,95,"6959 Esplanade St, Los Angeles, CA",33.958586700000005,-118.44923610000001,3.700274143007277
150,150,AUI-10366,7,"1248 Westwood Blvd, Los Angeles, CA",34.05788870000001,-118.44310039999999,1.9455173522025504
151,151,AUI-10336,80,"4839 Laurel Canyon Blvd, Los Angeles, CA",34.15887379999999,-118.3968676,1.3181794233045445
152,152,AUI-10376,2,"7428 S Sepulveda Blvd, Los Angeles, CA",33.9731993,-118.3948075,1.4317269553925762
153,153,AUI-10382,21,"10654 W Magnolia Blvd, Los Angeles, CA",34.1648054,-118.36349640000002,1.28022496775568
154,154,AUI-10364,5,"6040 Jefferson Blvd, Los Angeles, CA",34.02042369999999,-118.380283,2.1320590423997126
155,155,AUI-10389,15,"5263 Packard, Los Angeles, CA",34.0507581,-118.3511493,2.295242012493077
156,156,AUI-10388,8,"9818 Reseda Blvd, Los Angeles, CA",34.249297,-118.535973,2.1556143420500424
157,157,AUI-10363,4,"8800 S Hoover St, Los Angeles, CA",33.9572904,-118.2863728,2.499488649283731
158,158,AUI-10390,29,"9889 Beachy Ave, Los Angeles, CA",34.251165,-118.4415257,1.5614174139739339
159,159,AUI-10385,4,"10645 Glenoaks Blvd, Los Angeles, CA",34.262751,-118.40008,2.162016969912512
160,160,AUI-10377,14,"2044 Reservoir St, Los Angeles, CA",34.07873,-118.26208799999999,3.067335114979306
161,161,AUI-10352,12,"7178 Tujunga Ave, Los Angeles, CA",34.200786,-118.37893400000002,1.8339325626229528
162,162,AUI-10383,81,"11169 Weddington St, Los Angeles, CA",34.1670008,-118.3748155,1.3856321117237596
