,Unnamed: 0,Station,Address,lat,lon,zipcode,Geo_FIPS,total_population_1_km,pop_below_18_1_km,pop_between_18_34_1_km,pop_between_34_65_1_km,pop_over_65_1_km,occupied_households_1_km,family_households_1_km,nonfamily_households_1_km,householder_less_than_high_school_1_km,householder_high_school_degree_1_km,householder_some_college_1_km,householder_bachelors_degree_1_km,older_than_3_in_school_1_km,older_than_3_not_in_school_1_km,not_high_school_grad_1_km,high_school_grad_1_km,employed_1_km,unemployed_1_km,not_in_labor_force_1_km,30_49_percet_income_to_rent_1_km,over_50_percent_income_to_rent_1_km,commuters_by_car_truck_van_1_km,commuters_by_car_truck_van_alone_1_km,commuters_by_car_truck_van_carpool_1_km,children_living_with_single_parents_1_km,private_sector_1_km,public_sector_1_km,self_employed_1_km,private_non-profit_1_km,unpaid_family_workers_1_km,households_social_security_income_1_km,households_SsI_1_km,households_retirement_income_1_km,housing_units_1_km,vacant_units_1_km,total_cars_1_km,commute_time_1_km,median_household_income_1_km,average_household_size_1_km,population_density_1_km,median_house_value_1_km,ev_car_count_1_km,total_sessions,total_connection_time,total_amount,total_kwh,distance_freeway,num_pois_nearby
20,20,AUI-10205,"6710 Platt Ave, Los Angeles, CA",34.1925151,-118.6425347,91307,6037135203,151733.2611,6610.595491,1517.385907,919.4424918,3069.930658,1103.836434,2166.911639,1731.020336,7626.126893,49.67647384,291.6793949,692.2299521,1133.325818,1709.167335,4707.043561,0.646173826,376.5110822,3108.556856,185.3973156,875019.7401,68.25185762,86.97164499,2672.808029,2429.019765,243.7882637,244.7456424,1954.749497,334.0025173,618.8865277,200.1105972,0.807717282,706.177761,66.78042039,367.1199948,2243.91334,77.00170104,-0.700859615,33.07761669,361.7069357,3.026216024,1638.600799,148.8848106,89,152:22:00,164.11,808.296,2.357698217,118
21,21,AUI-10255,"290 N Mission Road, Los Angeles, CA",34.0506258,-118.2270707,90033,6037206032,120496.8476,12140.75683,1533.722933,5175.406178,4257.566488,1174.061235,2692.492445,1498.424865,31483.69765,856.9241999,464.867484,616.187244,754.5135173,1890.452756,9991.631605,70.44928446,430.5224173,3680.806681,133.8704189,1042661.611,617.0145272,741.6457769,2494.295942,2070.374236,423.9217057,734.9517118,2517.445982,326.8833955,615.4882883,205.5774106,15.41160489,773.2107062,370.201563,135.6346206,2902.561505,210.0690597,-0.028926598,31.92511908,767.451688,2.501895983,2294.821594,148.8641813,2,0:00,0,0.07,1.322219637,160
22,22,AUI-10268,"17832 Plummer Street, Los Angeles, CA",34.2428198,-118.5227509,91330-8449,6037115104,114829.5035,8328.630436,868.4595187,4702.997328,1935.942504,821.231085,2190.498533,1187.944371,15441.68191,90.85689282,282.0456568,873.2587478,944.3372356,4827.119708,3424.826186,0,1709.909601,3957.9368,507.3761156,1309960.336,309.9775778,496.2939493,2716.514732,2524.361913,192.1528192,151.7104171,2510.621668,663.1756273,408.4752349,371.1278964,4.536372637,463.5766153,87.3986905,242.5563667,2409.098712,218.6001789,0.291884915,25.02360436,437.8699861,3.271637152,1718.470515,158.056602,20,80:57:00,16.93,306.375,2.644649893,132
23,23,AUI-10257,"20321 W Saticoy St, Los Angeles, CA",34.2082681,-118.4721919,91406,6037127300,118695.8505,11341.01445,2722.83591,2912.131317,4659.197799,1046.84942,3723.427843,2425.26573,29116.25962,863.055494,870.130767,1192.407857,797.8337247,2682.882907,8055.220993,72.80066847,508.1617617,5914.41909,471.1833726,1106187.582,833.8073571,799.20917,4753.611031,3914.970868,838.6401634,765.0855912,4348.959011,477.161092,784.6004804,303.6985066,0,668.5309009,255.9776828,314.3243019,3898.551868,175.1240255,-0.085115665,33.07777609,494.8270528,3.14940117,1027.026476,119.9390764,6,5:22,10.81,30.082,5.066727533,130
24,24,AUI-10274,"651 W 1st, Los Angeles, CA",33.7810202,-118.2694377,90744,6037294810,246578.8599,22611.79725,7217.332579,6364.715498,7645.888073,1383.861096,5458.792399,4483.887173,120293.0122,2817.614992,1277.337548,1072.026147,291.8137121,7438.814068,14115.08073,90.68051062,1261.515015,9768.736236,828.256243,2017908.847,1302.171724,1127.454167,7952.025958,6877.434348,1074.59161,2457.832434,7870.11655,550.9719658,932.9768893,385.1606131,29.5102177,965.6572337,400.37342,400.6805364,5739.250683,280.4582841,0.449757118,25.00657812,185.5554501,4.047713626,1018.643478,15.12751069,14,22:43,0,95.417,2.255628133,93
25,25,AUI-10245,"9200 Venice Blvd, Los Angeles, CA",34.0263805,-118.3933239,90034-4000,6037270100,337205.0355,16168.75317,1956.588442,6371.174198,6447.4267,1393.563827,8019.244075,3000.743008,88692.0652,362.211267,779.9939826,1760.151074,5116.887751,2833.358949,12876.51676,1.108280369,310.4938367,10882.96102,437.8704226,3092140.142,1598.980021,1335.722788,8664.325165,8267.233004,397.092161,387.3266557,7623.666955,871.1059804,1452.060589,930.6070906,5.52040982,893.8544451,203.0322589,509.2960993,8482.569787,463.3257123,-0.375565129,26.06397295,1078.53394,2.142876788,889.2425304,243.5763033,102,200:08:00,350.4,974.938,1.763258071,145
26,26,AUI-10216,"4712 W Washington Blvd, Los Angeles, CA",34.0395664,-118.3420489,90016,6037218600,260960.2426,18958.02604,3943.413808,5064.646252,7834.729806,2115.236176,6784.403267,3860.576537,92130.26312,1731.529828,1118.642311,1998.415334,1935.815794,4870.628955,13405.9488,10.95483856,757.581441,9725.505969,620.1833329,3660664.172,1305.852413,1626.527108,7437.448247,6930.256301,507.1919458,1233.68835,6628.752444,974.743195,1622.90256,468.6241377,30.48363238,1475.102696,569.0994447,689.3939815,7340.72735,556.3240832,0.256275188,32.82979684,576.3661238,2.72560344,979.7049452,117.7864827,80,199:32:00,388.71,1025.825,4.831688037,153
27,27,AUI-10273,"13310 W Bluff Creek Dr, Los Angeles, CA",33.9681023,-118.4262923,90293,6037275602,182943.2927,9969.024617,1300.967717,4389.753826,3347.783151,930.5199234,3359.068919,1772.4689,14918.95426,22.11117825,159.5887561,820.6191859,2356.749799,4116.550777,5481.572386,0,1572.614933,5405.85946,351.0820273,1777993.02,407.03193,471.0333271,3743.788952,3499.525435,244.263517,182.7886435,3239.89999,495.2665272,869.4181718,775.8041617,25.47060892,600.5833336,53.10277816,336.7834971,3679.671789,320.6028693,-0.492821542,26.11585575,1158.816054,2.373269318,1682.163831,201.4288797,307,838:56:00,1182.76,3781.072,1.230623901,135
28,28,AUI-10270,"9037 Loyola Blvd, Los Angeles, CA",33.9574659,-118.4177188,90045,6037276604,178913.1263,7940.361232,900.3989428,3867.922916,2279.827786,892.2115874,2823.745123,1276.270047,19162.72577,20.2598902,227.7761136,805.8060768,1769.903042,3291.666296,4539.865693,0,1254.580891,4281.918269,247.0200256,1588324.445,239.0854947,508.477291,3145.425583,2918.622951,226.8026317,121.8940959,2673.232498,448.555049,501.4084644,623.2693944,35.45286277,513.3455659,55.9168735,334.1690651,3072.233083,248.4879601,-0.32849992,26.17333999,499.4490088,2.536648624,987.2969855,90.31204944,10,21:43,9.6,92.112,2.327653,133
29,29,AUI-10232,"1724 W Century Blvd, Los Angeles, CA",33.9453286,-118.3073544,90047,6037238000,137117.9517,15174.83567,3436.746561,3396.426962,6131.003183,2210.65896,5184.140067,3577.030212,40989.13836,1453.74008,1184.687387,1855.946849,689.765751,3519.645532,11232.20788,28.53677441,750.1347084,6344.637872,719.0513311,1123408.127,874.739577,1044.064962,5370.849435,4917.888049,452.9613852,1561.927122,4386.355662,1037.145438,586.0283059,311.4377466,23.67071972,1639.660872,679.1065627,889.5304638,5570.740439,386.6003723,1.086314147,36.36212458,590.3740195,2.818792457,1834.804593,31.28648806,83,283:51:00,247.81,561.294,1.982868996,122
